ID,FinalHeight,Flower,FlowerDate,Capsule Count,POP,ML,BLK,Row,ConsumedBefore,Consumption_,Consumption,ID,Capitate,Single,Branched,Peltate,Length,FinalHeight,Seed Count,TRT,TAGID,Height1,Leaf1,Leaf2,HerbDamage1,PerDamage1,Height3,Leaf3,HerbDamage2,PerDamage2,Environment
918,155,,4-Aug,133,8,57,3,10,0.0035,0,0.07,918,NA,NA,NA,NA,NA,155,5320,0,T2_B3_57,32.3,8,11,NA,NA,72,18,NA,NA,1
932,116,,6-Aug,99,8,57,3,10,0.0035,0,0.1485,932,NA,NA,NA,NA,NA,116,3960,0,T3_B3_57,23.5,6,9,NA,NA,43,13,NA,NA,1
965,163,,7-Aug,170,8,57,3,10,0.0035,0.008833333,0.218,965,NA,NA,NA,NA,NA,163,6800,0,T2_B3_57,19.3,8,10,NA,NA,63.2,14,NA,NA,1
824,130,,8-Aug,56,8,59,3,9,0.004666667,0.004666667,0.014333333,824,17,18,46,4,27900.225,130,2240,0,T2_B3_23,12,6,10,NA,NA,45,10,NA,NA,1
27,81,5,10-Aug,10,8,59,1,1,0.004666667,0.019333334,0.019333334,27,NA,NA,NA,NA,NA,81,400,0,T1_B1_59,10.5,7,6,NA,NA,33.5,9,NA,NA,1
31,89,15,6-Aug,13,8,59,1,1,0.004666667,0,0.004666667,31,NA,NA,NA,NA,NA,89,520,0,T1_B1_23,18.6,5,8,NA,NA,47,9,NA,NA,1
171,110,5,9-Aug,10,8,59,1,2,0.004666667,0,0.004666667,171,NA,NA,NA,NA,NA,110,400,0,T1_B1_59,7,5,8,NA,NA,40.3,9,NA,NA,1
179,172,32,5-Aug,66,8,59,1,2,0.004666667,0,0.004666667,179,NA,NA,NA,NA,NA,172,2640,0,T1_B1_59,19.8,8,11,NA,NA,72,20,NA,NA,1
229,143,36,2-Aug,143,8,59,1,3,0.004666667,10.02233334,10.02233334,229,NA,NA,NA,NA,NA,143,5720,0,T2_B1_59,16.2,7,17,NA,NA,60,17,NA,NA,1
272,43,0,,2,8,59,1,3,0.004666667,0.004666667,0.004666667,272,NA,NA,NA,NA,NA,43,80,0,T2_B1_23,7.8,6,5,NA,NA,10.7,6,NA,NA,1
